date,t,load_error_kw,pv_error_kw,net_error_kw,naive_load_error_kw,naive_pv_error_kw
2025-02-02,106,20.8959763745,-13.6383957246,34.5343720991,3629.1899,-0.5609
2025-02-02,107,-81.6697145978,-7.33230781708,-74.3374067808,2773.2626,0
2025-02-02,108,-178.948082547,0,-178.948082547,1511.44,0
2025-02-02,109,-119.001897107,0.236737646991,-119.238634754,1370.5697,-0.0403
2025-02-02,110,75.6371998357,-0.019962353009,75.6571621887,1638.9096,0
2025-02-02,111,240.667541945,0,240.667541945,1806.65,0
2025-02-02,112,221.0737526,-0.00156235300902,221.075314953,2017.376,-0.0029
2025-02-02,113,49.6399958061,-0.019962353009,49.6599581591,1940.3026,0
2025-02-02,114,-30.4784851988,0,-30.4784851988,1730.94,0
2025-02-02,115,184.512217753,0.0012390625,184.51097869,1860.7719,-0.0002
2025-02-02,116,190.61647584,0,190.61647584,1658.3434,0
2025-02-02,117,-60.0773092824,0,-60.0773092824,1227.65,0
2025-02-02,118,-102.642897102,0,-102.642897102,1401.7288,0
2025-02-02,119,-7.97808239937,0,-7.97808239937,1680.2915,0
2025-02-02,120,78.8754352296,0,78.8754352296,1723.32,0
2025-02-02,121,90.2731831557,0,90.2731831557,1665.68,0
2025-02-02,122,-69.5776156517,0,-69.5776156517,1526.8692,0
2025-02-02,123,-229.000847756,0,-229.000847756,1438.51,0
2025-02-02,124,-101.146524159,0,-101.146524159,1560.2899,0
2025-02-02,125,0.887145937249,0,0.887145937249,1591.3319,0
2025-02-02,126,-63.1755359011,0,-63.1755359011,1415.55,0
2025-02-02,127,-113.822636992,0,-113.822636992,1224.9054,0
2025-02-02,128,-58.9254405628,0,-58.9254405628,1226.516,0
2025-02-02,129,18.324337494,0,18.324337494,1380.78,0
2025-02-02,130,-38.1209283375,0,-38.1209283375,1434.9288,0
2025-02-02,131,-12.2661416908,0,-12.2661416908,1281.0144,0
2025-02-02,132,90.4465415988,0,90.4465415988,1048,0
2025-02-02,133,13.797970137,0,13.797970137,987.9111,0
2025-02-02,134,-95.6964745203,0,-95.6964745203,1052.1696,0
2025-02-02,135,-126.609236005,0,-126.609236005,1094.64,0
2025-02-02,136,-121.321158387,0,-121.321158387,986.9997,0
2025-02-02,137,-173.455547238,0,-173.455547238,760.6337,0
2025-02-02,138,-204.266544571,0,-204.266544571,658.47,0
2025-02-02,139,-85.4467376524,0,-85.4467376524,901.6895,0
2025-02-02,140,-99.5239926449,0,-99.5239926449,968.812,0
2025-02-02,141,-232.874186267,0,-232.874186267,831.08,0
2025-02-02,142,-176.400505164,0,-176.400505164,899.4673,0
2025-02-02,143,-65.9252563248,0,-65.9252563248,654.6918,0
2025-02-02,144,-67.2047484969,0,-67.2047484969,63.32,0
2025-02-03,1,-195.962341869,0,-195.962341869,-272.7084,0
2025-02-03,2,-122.041838958,0,-122.041838958,-133.2205,0
2025-02-03,3,41.0546736237,0,41.0546736237,150.16,0
2025-02-03,4,21.6753401027,0,21.6753401027,37.8886,0
2025-02-03,5,-81.8158014104,0,-81.8158014104,-71.3078,0
2025-02-03,6,-188.431511406,0,-188.431511406,-75.08,0
2025-02-03,7,-287.723513594,0,-287.723513594,-220.8365,0
2025-02-03,8,-211.060140887,0,-211.060140887,-47.8252,0
2025-02-03,9,-115.486809675,0,-115.486809675,261.78,0
2025-02-03,10,-301.250172754,0,-301.250172754,28.3975,0
2025-02-03,11,-257.375839284,0,-257.375839284,-141.5112,0
2025-02-03,12,29.8216242533,0,29.8216242533,57.92,0
2025-02-03,13,57.0473010592,0,57.0473010592,286.4638,0
2025-02-03,14,24.4607421426,0,24.4607421426,169.2878,0
