t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
80,net,3.72598210893,-536.861974199,-177.447516551,-11.5581450717,219.987242235,534.787697432,334
81,load,6.81604513124,-285.060061831,-111.910780982,-0.025436182081,119.383502152,311.555562299,334
81,pv,7.54338743967,-445.349997491,-172.608363478,24.7445114726,187.564226603,462.525928983,334
81,net,-0.727342308422,-523.916869486,-218.80108774,-16.6310614867,222.889130085,537.275195042,334
82,load,5.36161259064,-249.121306389,-108.810816283,-2.37768868613,118.766748614,281.795389075,334
82,pv,19.6446942162,-377.924144439,-158.502912602,11.5491213175,196.439749331,482.026000572,334
82,net,-14.2830816256,-539.099896201,-228.568038803,-37.8891684054,207.179310097,493.103180349,334
83,load,4.52625490281,-251.399411402,-114.542214081,7.34031445947,99.3905279906,306.26922331,334
83,pv,3.66032970194,-319.745878117,-127.615106975,-5.17487026406,121.151248525,364.317526692,334
83,net,0.865925200871,-423.518344444,-167.040766908,12.8674551374,175.85002347,439.041514844,334
84,load,4.44094576753,-284.700429402,-111.540772346,13.6129458245,114.519019647,285.765318729,334
84,pv,-41.970782014,-244.040995912,-116.695295925,-44.1820139284,34.4745214012,155.557446578,334
84,net,46.4117277815,-318.575149257,-81.8879415991,56.4066066641,181.61350884,371.893033091,334
85,load,4.52287331347,-223.317937775,-94.8001840909,-6.31558798077,98.2414694622,260.289927163,334
85,pv,2.90446631925,-320.487308066,-128.421328761,1.52913985658,124.650713589,384.61557061,334
85,net,1.61840699422,-421.170487069,-177.329493883,8.12700617166,179.51685361,423.458439461,334
86,load,5.7990884314,-247.246421256,-102.475097036,-0.0106428313502,98.4513616358,275.622361148,334
86,pv,22.7333662351,-361.587166421,-141.542431601,14.5436350826,172.858372593,468.794622497,334
86,net,-16.9342778037,-524.62230872,-223.854053589,-7.64492319697,199.118187526,460.897973759,334
87,load,7.71198122374,-312.979341911,-96.5998632813,-5.70140941308,126.71648213,304.910731163,334
